LEADID,Last Name,Company,Lead Owner Id,Lead Owner,Email,Mobile,Website,Industry,Lead Source,Lead Status,Created Time,CONVERTED
1131,Simon,Portage Tool Co,1003,Lazar Mathew,simon@samplecompany.com,(800) - 456 - 1131,,Pharma,Web Research,Pre Qualified,"21 Mar, 2011 00:00:00",
1132,Ann,Evi Oil Tools - Highland,1009,Thomas Mondrake,ann@samplecompany.com,(800) - 456 - 1132,,Service Provider,Sales Mail Alias,Contact in Future,"21 Mar, 2011 00:00:00",
1133,Annette,Hatch,1002,Santa Cruz Clara,annette@samplecompany.com,(800) - 456 - 1133,,Financial Services,Public Relations,Contacted,"21 Mar, 2011 00:00:00",
1857,Ann,Ammco,1004,Pete Zachriah,ann@samplecompany.com,(800) - 456 - 1857,,Technology,Advertisement,Pre Qualified,"13 Mar, 2011 00:00:00",
1859,John,Allsteel International,1003,Lazar Mathew,john@samplecompany.com,(800) - 456 - 1859,,Education,Employee Referral,Lost Lead,"13 Mar, 2011 00:00:00",
1861,Thomas,Nordic Inc.,1009,Thomas Mondrake,thomas@samplecompany.com,(800) - 456 - 1861,,Financial Services,External Referral,Pre Qualified,"08 Mar, 2011 00:00:00",
1135,Paula,CGI (Conte-Glancz Ind Inc),1010,Augustine Paul,paula@samplecompany.com,(800) - 456 - 1135,,Pharma,Public Relations,Attempted to Contact,"08 Mar, 2011 00:00:00",
1869,Yoshi,TRW Inc,1011,Tina Thomas,yoshi@samplecompany.com,(800) - 456 - 1869,,Financial Services,Employee Referral,Contacted,"07 Mar, 2011 00:00:00",
1136,Janete,Oilgear Company,1001,Rozario Diego,janete@samplecompany.com,(800) - 456 - 1136,,Technology,Advertisement,Pre Qualified,"07 Mar, 2011 00:00:00",
1137,John,Chamberlain Manufacturing Corp,1010,Augustine Paul,john@samplecompany.com,(800) - 456 - 1137,,Manufacturing,Employee Referral,Contact in Future,"06 Mar, 2011 00:00:00",
1138,Dominique,MI Metals,1010,Augustine Paul,dominique@samplecompany.com,(800) - 456 - 1138,,Technology,Web Research,Lost Lead,"22 Feb, 2011 00:00:00",
1139,Patricia,Corey Steel Company,1006,Harold Pawlan,patricia@samplecompany.com,(800) - 456 - 1139,,Education,Trade Show,Contacted,"22 Feb, 2011 00:00:00",
1140,Georg,SMC,1004,Pete Zachriah,georg@samplecompany.com,(800) - 456 - 1140,,Pharma,Cold Call,Pre Qualified,"22 Feb, 2011 00:00:00",
1142,Rene,Midwest Forge Corporation,1011,Tina Thomas,rene@samplecompany.com,(800) - 456 - 1142,,IT Services,Cold Call,Contacted,"22 Feb, 2011 00:00:00",
1143,Alejandra,Norforge & Machining Inc,1010,Augustine Paul,alejandra@samplecompany.com,(800) - 456 - 1143,,Service Provider,Trade Show,Junk Lead,"22 Feb, 2011 00:00:00",
1144,Martyn,Mid South Extrusion Die Co.,1006,Harold Pawlan,martyn@samplecompany.com,(800) - 456 - 1144,,Financial Services,Partner,Attempted to Contact,"21 Feb, 2011 00:00:00",
1145,Christina,Ameri-Steel Company,1009,Thomas Mondrake,christina@samplecompany.com,(800) - 456 - 1145,,Technology,Advertisement,Pre Qualified,"21 Feb, 2011 00:00:00",
1146,Alexander,B & B Gear & Machine Co,1004,Pete Zachriah,alexander@samplecompany.com,(800) - 456 - 1146,,Consulting,OnlineStore,Contact in Future,"21 Feb, 2011 00:00:00",
1147,Bill,Thyssen Krupp Gerlach Crankshaft Co,1010,Augustine Paul,bill@samplecompany.com,(800) - 456 - 1147,,Communications,Sales Mail Alias,Lost Lead,"21 Feb, 2011 00:00:00",
1148,Martine,Mikron Corp,1009,Thomas Mondrake,martine@samplecompany.com,(800) - 456 - 1148,,IT Services,Advertisement,Contacted,"21 Feb, 2011 00:00:00",
1149,Martine,Quik Drive U S A Inc,1005,Steffi Graf,martine@samplecompany.com,(800) - 456 - 1149,,Technology,Sales Mail Alias,Not Contacted,"21 Feb, 2011 00:00:00",
1150,Michael,Special Gear Products,1005,Steffi Graf,michael@samplecompany.com,(800) - 456 - 1150,,Financial Services,External Referral,Contact in Future,"21 Feb, 2011 00:00:00",
1151,Alexander,Wenger Systems,1002,Santa Cruz Clara,alexander@samplecompany.com,(800) - 456 - 1151,,Government/Military,Web Research,Contacted,"21 Feb, 2011 00:00:00",
1152,Georg,Wesselhoeft Inc,1005,Steffi Graf,georg@samplecompany.com,(800) - 456 - 1152,,Government/Military,Web Research,Junk Lead,"21 Feb, 2011 00:00:00",
1153,Ann,Karavan Trailer Inc.,1003,Lazar Mathew,ann@samplecompany.com,(800) - 456 - 1153,,Education,External Referral,Attempted to Contact,"21 Feb, 2011 00:00:00",
1154,Paula,Dover Corporation,1002,Santa Cruz Clara,paula@samplecompany.com,(800) - 456 - 1154,,Education,Web Research,Pre Qualified,"21 Feb, 2011 00:00:00",
1921,Roland,E A C Co,1001,Rozario Diego,roland@samplecompany.com,(800) - 456 - 1921,,Service Provider,Sales Mail Alias,Lost Lead,"19 Feb, 2011 00:00:00",
1155,Martyn,"Croft Metals, Inc.",1001,Rozario Diego,martyn@samplecompany.com,(800) - 456 - 1155,,Communications,Web Research,Contact in Future,"19 Feb, 2011 00:00:00",
1156,Lucia,Silver City Aluminum Corporation,1010,Augustine Paul,lucia@samplecompany.com,(800) - 456 - 1156,,Manufacturing,Partner,Lost Lead,"19 Feb, 2011 00:00:00",
1157,Maurizio,"William L. Bonnell Co., Inc.",1002,Santa Cruz Clara,maurizio@samplecompany.com,(800) - 456 - 1157,,Consulting,Advertisement,Contacted,"19 Feb, 2011 00:00:00",
1158,Maria,Central Service & Supply Inc,1003,Lazar Mathew,maria@samplecompany.com,(800) - 456 - 1158,,Technology,Web Research,Not Contacted,"19 Feb, 2011 00:00:00",
1159,Martine,Ellwood Group Inc.,1008,Roger Terrence,martine@samplecompany.com,(800) - 456 - 1159,,Government/Military,Trade Show,Pre Qualified,"19 Feb, 2011 00:00:00",
1160,Mary,Holland Binkley Co,1005,Steffi Graf,mary@samplecompany.com,(800) - 456 - 1160,,Service Provider,Sales Mail Alias,Contacted,"19 Feb, 2011 00:00:00",
1161,Annette,Medico Industries Inc,1006,Harold Pawlan,annette@samplecompany.com,(800) - 456 - 1161,,Technology,Employee Referral,Junk Lead,"19 Feb, 2011 00:00:00",
1162,Hari,Pressform,1004,Pete Zachriah,hari@samplecompany.com,(800) - 456 - 1162,,Service Provider,Advertisement,Attempted to Contact,"19 Feb, 2011 00:00:00",
1163,Manuel,Weld Mold Company,1011,Tina Thomas,manuel@samplecompany.com,(800) - 456 - 1163,,Education,Partner,Pre Qualified,"19 Feb, 2011 00:00:00",
1929,Ann,Deutsch Company MCD,1010,Augustine Paul,ann@samplecompany.com,(800) - 456 - 1929,,Government/Military,Cold Call,Pre Qualified,"09 Feb, 2011 00:00:00",
1164,Helen,Link's Machine Co,1008,Roger Terrence,helen@samplecompany.com,(800) - 456 - 1164,,IT Services,Public Relations,Contact in Future,"04 Feb, 2011 00:00:00",
1165,Fredrique,Micromatic Textron Inc,1002,Santa Cruz Clara,fredrique@samplecompany.com,(800) - 456 - 1165,,Manufacturing,External Referral,Lost Lead,"04 Feb, 2011 00:00:00",
1933,Rene,Equitable Engineering Co,1001,Rozario Diego,rene@samplecompany.com,(800) - 456 - 1933,,Manufacturing,Public Relations,Pre Qualified,"04 Feb, 2011 00:00:00",
1166,Mary,Small Parts Manufacturing Inc,1002,Santa Cruz Clara,mary@samplecompany.com,(800) - 456 - 1166,,Manufacturing,Advertisement,Contacted,"04 Feb, 2011 00:00:00",
1167,Helvetius,Doncasters Inc - Storms Forge Div.,1002,Santa Cruz Clara,helvetius@samplecompany.com,(800) - 456 - 1167,,Pharma,Cold Call,Not Contacted,"03 Feb, 2011 00:00:00",
1168,Martine,Superior Chain Inc,1005,Steffi Graf,martine@samplecompany.com,(800) - 456 - 1168,,Service Provider,OnlineStore,Pre Qualified,"03 Feb, 2011 00:00:00",
1169,Jose,Elixir Industries,1003,Lazar Mathew,jose@samplecompany.com,(800) - 456 - 1169,,Service Provider,Advertisement,Contact in Future,"22 Jan, 2011 00:00:00",
1170,Jytte,Temroc Metals Inc.,1004,Pete Zachriah,jytte@samplecompany.com,(800) - 456 - 1170,,Government/Military,Cold Call,Junk Lead,"22 Jan, 2011 00:00:00",
1171,Horst,Alu-Cut International Inc.,1004,Pete Zachriah,horst@samplecompany.com,(800) - 456 - 1171,,Manufacturing,Partner,Attempted to Contact,"22 Jan, 2011 00:00:00",
1172,Georg,"Crown Extrusion, Inc.",1009,Thomas Mondrake,georg@samplecompany.com,(800) - 456 - 1172,,Communications,Cold Call,Pre Qualified,"22 Jan, 2011 00:00:00",
1173,Karl,Phelps Dodge SCP,1010,Augustine Paul,karl@samplecompany.com,(800) - 456 - 1173,,Technology,Partner,Contact in Future,"22 Jan, 2011 00:00:00",
1174,Karl,Radyne Corporation,1004,Pete Zachriah,karl@samplecompany.com,(800) - 456 - 1174,,Consulting,OnlineStore,Lost Lead,"22 Jan, 2011 00:00:00",
1175,Roland,Bundy North America,1010,Augustine Paul,roland@samplecompany.com,(800) - 456 - 1175,,Manufacturing,Cold Call,Contacted,"22 Jan, 2011 00:00:00",
1176,Hari,Tube Fab of Afton Corporation,1006,Harold Pawlan,hari@samplecompany.com,(800) - 456 - 1176,,Financial Services,Public Relations,Not Contacted,"22 Jan, 2011 00:00:00",
1177,Pirkko,Cooper Industries Inc,1005,Steffi Graf,pirkko@samplecompany.com,(800) - 456 - 1177,,Technology,Public Relations,Pre Qualified,"22 Jan, 2011 00:00:00",
1178,Yang,Gunnebo-Johnson Corp,1001,Rozario Diego,yang@samplecompany.com,(800) - 456 - 1178,,Education,Web Research,Contact in Future,"22 Jan, 2011 00:00:00",
1179,Janine,John Zurcher Associates Inc,1008,Roger Terrence,janine@samplecompany.com,(800) - 456 - 1179,,Pharma,Trade Show,Contacted,"22 Jan, 2011 00:00:00",
1180,Thomas,Merritt Tool & Die,1002,Santa Cruz Clara,thomas@samplecompany.com,(800) - 456 - 1180,,Government/Military,Sales Mail Alias,Attempted to Contact,"22 Jan, 2011 00:00:00",
1181,Martyn,Ringmasters Manufacturing LLC,1006,Harold Pawlan,martyn@samplecompany.com,(800) - 456 - 1181,,Financial Services,Trade Show,Pre Qualified,"22 Jan, 2011 00:00:00",
1182,Laurence,South Side Machine Works Inc,1011,Tina Thomas,laurence@samplecompany.com,(800) - 456 - 1182,,Financial Services,Public Relations,Contact in Future,"22 Jan, 2011 00:00:00",
1954,Andre,Pries Enterprises,1009,Thomas Mondrake,andre@samplecompany.com,(800) - 456 - 1954,,Technology,Trade Show,Junk Lead,"22 Jan, 2011 00:00:00",
1956,Paula,R. L. Best Company,1003,Lazar Mathew,paula@samplecompany.com,(800) - 456 - 1956,,IT Services,Web Research,Pre Qualified,"22 Jan, 2011 00:00:00",
1958,Yoshi,Ormet Primary Aluminum Corp.,1008,Roger Terrence,yoshi@samplecompany.com,(800) - 456 - 1958,,Financial Services,Advertisement,Lost Lead,"22 Jan, 2011 00:00:00",
1959,Howard,"Sampson Industries, Inc.",1001,Rozario Diego,howard@samplecompany.com,(800) - 456 - 1959,,IT Services,OnlineStore,Contacted,"22 Jan, 2011 00:00:00",
1966,Helvetius,McAuley Manufacturing Inc,1005,Steffi Graf,helvetius@samplecompany.com,(800) - 456 - 1966,,Communications,Advertisement,Contact in Future,"22 Jan, 2011 00:00:00",
1967,Francisco,Pace Performance Industries Co,1005,Steffi Graf,francisco@samplecompany.com,(800) - 456 - 1967,,Manufacturing,Trade Show,Lost Lead,"22 Jan, 2011 00:00:00",
1970,Diego,Terrecorp,1006,Harold Pawlan,diego@samplecompany.com,(800) - 456 - 1970,,Technology,Trade Show,Contact in Future,"22 Jan, 2011 00:00:00",
1183,Bernardo,Calex Corporation,1008,Roger Terrence,bernardo@samplecompany.com,(800) - 456 - 1183,,Manufacturing,Cold Call,Lost Lead,"21 Jan, 2011 00:00:00",
1184,Janine,National Extrusion & Mfg. Co. Inc.,1002,Santa Cruz Clara,janine@samplecompany.com,(800) - 456 - 1184,,Communications,Web Research,Contacted,"21 Jan, 2011 00:00:00",
1185,Eduardo,Super Steel Treating Company,1004,Pete Zachriah,eduardo@samplecompany.com,(800) - 456 - 1185,,Technology,Web Research,Not Contacted,"21 Jan, 2011 00:00:00",
1186,Yvonne,Admiral Marine Co Inc,1009,Thomas Mondrake,yvonne@samplecompany.com,(800) - 456 - 1186,,IT Services,Sales Mail Alias,Pre Qualified,"21 Jan, 2011 00:00:00",
1187,Jaime,C T M I Inc,1002,Santa Cruz Clara,jaime@samplecompany.com,(800) - 456 - 1187,,Education,OnlineStore,Contact in Future,"21 Jan, 2011 00:00:00",
1188,Georg,Cloyes Gear Co,1004,Pete Zachriah,georg@samplecompany.com,(800) - 456 - 1188,,IT Services,Trade Show,Contacted,"21 Jan, 2011 00:00:00",
1189,Steve,Olsen Chain & Cable Inc,1006,Harold Pawlan,steve@samplecompany.com,(800) - 456 - 1189,,Technology,Sales Mail Alias,Junk Lead,"21 Jan, 2011 00:00:00",
1190,Isabel,Rush Metals,1002,Santa Cruz Clara,isabel@samplecompany.com,(800) - 456 - 1190,,Consulting,OnlineStore,Pre Qualified,"21 Jan, 2011 00:00:00",
1191,Patricio,Unicor Inc,1002,Santa Cruz Clara,patricio@samplecompany.com,(800) - 456 - 1191,,IT Services,Partner,Contact in Future,"21 Jan, 2011 00:00:00",
1192,Eduardo,Midwest Control Products Corp.,1001,Rozario Diego,eduardo@samplecompany.com,(800) - 456 - 1192,,Consulting,Web Research,Lost Lead,"21 Jan, 2011 00:00:00",
1193,Marie,A A Machine,1003,Lazar Mathew,marie@samplecompany.com,(800) - 456 - 1193,,Manufacturing,Employee Referral,Contacted,"21 Jan, 2011 00:00:00",
1194,Martine,Clifton Steel Company,1009,Thomas Mondrake,martine@samplecompany.com,(800) - 456 - 1194,,Financial Services,Employee Referral,Not Contacted,"20 Jan, 2011 00:00:00",
1195,Mark,Lares Corp,1010,Augustine Paul,mark@samplecompany.com,(800) - 456 - 1195,,Financial Services,Web Research,Pre Qualified,"20 Jan, 2011 00:00:00",
1196,Georg,Simpson Industries Inc,1008,Roger Terrence,georg@samplecompany.com,(800) - 456 - 1196,,Manufacturing,Trade Show,Contact in Future,"20 Jan, 2011 00:00:00",
1197,Janete,SPX Comtech,1005,Steffi Graf,janete@samplecompany.com,(800) - 456 - 1197,,IT Services,Trade Show,Contacted,"20 Jan, 2011 00:00:00",
1983,Paula,Progressive Impression Die Co,1001,Rozario Diego,paula@samplecompany.com,(800) - 456 - 1983,,Communications,OnlineStore,Pre Qualified,"20 Jan, 2011 00:00:00",
1198,Philip,Ajax Magnethermic Corp.,1005,Steffi Graf,philip@samplecompany.com,(800) - 456 - 1198,,Service Provider,Advertisement,Junk Lead,"18 Jan, 2011 00:00:00",
1199,Paolo,Electro Polish Company,1006,Harold Pawlan,paolo@samplecompany.com,(800) - 456 - 1199,,Service Provider,Employee Referral,Attempted to Contact,"18 Jan, 2011 00:00:00",
1200,Patricio,Hetran,1005,Steffi Graf,patricio@samplecompany.com,(800) - 456 - 1200,,Communications,External Referral,Lost Lead,"18 Jan, 2011 00:00:00",
1201,Peter,Express Machinery Installers & Relocators,1003,Lazar Mathew,peter@samplecompany.com,(800) - 456 - 1201,,Government/Military,Web Research,Contacted,"18 Jan, 2011 00:00:00",
1202,Laurence,Frewmill Die Crafts Inc,1004,Pete Zachriah,laurence@samplecompany.com,(800) - 456 - 1202,,Consulting,Cold Call,Not Contacted,"18 Jan, 2011 00:00:00",
1203,Hanna,Turner Uni-Drive Co,1006,Harold Pawlan,hanna@samplecompany.com,(800) - 456 - 1203,,Financial Services,Employee Referral,Pre Qualified,"18 Jan, 2011 00:00:00",
1204,Renate,"Wellington Industries, Inc.",1002,Santa Cruz Clara,renate@samplecompany.com,(800) - 456 - 1204,,Education,OnlineStore,Contact in Future,"18 Jan, 2011 00:00:00",
1995,Alan,Olin Brass,1008,Roger Terrence,alan@samplecompany.com,(800) - 456 - 1995,,Technology,Employee Referral,Contacted,"18 Jan, 2011 00:00:00",
2010,Manuel,Alcoa Forged Products,1002,Santa Cruz Clara,manuel@samplecompany.com,(800) - 456 - 2010,,Financial Services,Public Relations,Lost Lead,"18 Jan, 2011 00:00:00",
2012,Yoshi,"Tool-Dex, Inc.",1010,Augustine Paul,yoshi@samplecompany.com,(800) - 456 - 2012,,Education,Sales Mail Alias,Not Contacted,"18 Jan, 2011 00:00:00",
1205,Ana,Imperial Machine Co Inc,1004,Pete Zachriah,ana@samplecompany.com,(800) - 456 - 1205,,Technology,Public Relations,Contacted,"08 Jan, 2011 00:00:00",
1206,Janete,System Components Inc,1010,Augustine Paul,janete@samplecompany.com,(800) - 456 - 1206,,Communications,Trade Show,Junk Lead,"08 Jan, 2011 00:00:00",
1207,Bernardo,Mr. Benson Somuah,1002,Santa Cruz Clara,bernardo@samplecompany.com,(800) - 456 - 1207,,Pharma,Cold Call,Attempted to Contact,"03 Jan, 2011 00:00:00",
1208,Carlos,D D Sling & Supply Inc,1003,Lazar Mathew,carlos@samplecompany.com,(800) - 456 - 1208,,Manufacturing,Sales Mail Alias,Pre Qualified,"03 Jan, 2011 00:00:00",
1209,Jytte,Sharp Carbide Tool Co Inc,1001,Rozario Diego,jytte@samplecompany.com,(800) - 456 - 1209,,Government/Military,Sales Mail Alias,Contact in Future,"03 Jan, 2011 00:00:00",
2020,Maurizio,Moore Machine & Gear Inc,1003,Lazar Mathew,maurizio@samplecompany.com,(800) - 456 - 2020,,Education,Employee Referral,Contacted,"03 Jan, 2011 00:00:00",
1210,Maurizio,Ka-Wood Gear & Machine Co,1009,Thomas Mondrake,maurizio@samplecompany.com,(800) - 456 - 1210,,Consulting,Employee Referral,Contacted,"02 Jan, 2011 00:00:00",
1211,Marie,Special Metals Corp,1011,Tina Thomas,marie@samplecompany.com,(800) - 456 - 1211,,Financial Services,Partner,Not Contacted,"02 Jan, 2011 00:00:00",
2023,Carlos,Atlas Gear Co,1003,Lazar Mathew,carlos@samplecompany.com,(800) - 456 - 2023,,Education,Public Relations,Contact in Future,"02 Jan, 2011 00:00:00",
2024,Alexander,Philadelphia Gear Corp,1001,Rozario Diego,alexander@samplecompany.com,(800) - 456 - 2024,,Education,Partner,Contacted,"02 Jan, 2011 00:00:00",
2028,Janete,Loxcreen Company Inc.,1010,Augustine Paul,janete@samplecompany.com,(800) - 456 - 2028,,Financial Services,OnlineStore,Contact in Future,"01 Jan, 2011 00:00:00",
2029,Thomas,EFCO Corporation,1003,Lazar Mathew,thomas@samplecompany.com,(800) - 456 - 2029,,Consulting,OnlineStore,Lost Lead,"01 Jan, 2011 00:00:00",
1212,Martine,Bon L,1010,Augustine Paul,martine@samplecompany.com,(800) - 456 - 1212,,Consulting,Web Research,Pre Qualified,"23 Dec, 2010 00:00:00",
1213,Art,Alcoa Automotive (RAMCO,1003,Lazar Mathew,art@samplecompany.com,(800) - 456 - 1213,,Financial Services,Web Research,Contact in Future,"23 Dec, 2010 00:00:00",
1214,Pirkko,Electric Materials Company,1006,Harold Pawlan,pirkko@samplecompany.com,(800) - 456 - 1214,,Manufacturing,Employee Referral,Contacted,"23 Dec, 2010 00:00:00",
1215,Jytte,Associated TAD Inc.,1009,Thomas Mondrake,jytte@samplecompany.com,(800) - 456 - 1215,,Communications,Web Research,Junk Lead,"23 Dec, 2010 00:00:00",
1216,Janete,Dynetics Corp.,1005,Steffi Graf,janete@samplecompany.com,(800) - 456 - 1216,,Government/Military,Trade Show,Attempted to Contact,"23 Dec, 2010 00:00:00",
1217,Alan,Tubular Corporation of America,1006,Harold Pawlan,alan@samplecompany.com,(800) - 456 - 1217,,Education,Trade Show,Pre Qualified,"23 Dec, 2010 00:00:00",
1218,Bernardo,Bush Manufacturing Co Inc,1004,Pete Zachriah,bernardo@samplecompany.com,(800) - 456 - 1218,,Pharma,Cold Call,Contact in Future,"23 Dec, 2010 00:00:00",
1219,Felipe,RocFish,1005,Steffi Graf,felipe@samplecompany.com,(800) - 456 - 1219,,Government/Military,External Referral,Lost Lead,"23 Dec, 2010 00:00:00",
1220,Carine,TekFor USA,1011,Tina Thomas,carine@samplecompany.com,(800) - 456 - 1220,,Technology,Trade Show,Not Contacted,"23 Dec, 2010 00:00:00",
1221,Carlos,CTS Corp,1005,Steffi Graf,carlos@samplecompany.com,(800) - 456 - 1221,,Government/Military,Advertisement,Pre Qualified,"23 Dec, 2010 00:00:00",
1222,Jose,Dynagear Inc,1002,Santa Cruz Clara,jose@samplecompany.com,(800) - 456 - 1222,,Consulting,Cold Call,Contact in Future,"23 Dec, 2010 00:00:00",
1223,Sergio,Flasche Models & Patterns Inc,1003,Lazar Mathew,sergio@samplecompany.com,(800) - 456 - 1223,,Education,Sales Mail Alias,Contacted,"23 Dec, 2010 00:00:00",
1224,Karin,Timron Precision Gear Inc,1004,Pete Zachriah,karin@samplecompany.com,(800) - 456 - 1224,,Government/Military,Advertisement,Junk Lead,"23 Dec, 2010 00:00:00",
1225,Art,Wilmington Die Inc,1005,Steffi Graf,art@samplecompany.com,(800) - 456 - 1225,,Manufacturing,Sales Mail Alias,Attempted to Contact,"23 Dec, 2010 00:00:00",
1226,Steve,ODISSIMO,1001,Rozario Diego,steve@samplecompany.com,(800) - 456 - 1226,,Education,OnlineStore,Pre Qualified,"23 Dec, 2010 00:00:00",
1227,Janete,Cerro Metal Products Company,1006,Harold Pawlan,janete@samplecompany.com,(800) - 456 - 1227,,Pharma,OnlineStore,Contact in Future,"23 Dec, 2010 00:00:00",
1228,Victoria,"Hackney, Inc.",1009,Thomas Mondrake,victoria@samplecompany.com,(800) - 456 - 1228,,Manufacturing,Trade Show,Lost Lead,"23 Dec, 2010 00:00:00",
1229,Paul,Midwest Tool & Cutlery Company,1004,Pete Zachriah,paul@samplecompany.com,(800) - 456 - 1229,,Pharma,Cold Call,Contacted,"23 Dec, 2010 00:00:00",
1230,Paula,Firth Rixson US Operations,1010,Augustine Paul,paula@samplecompany.com,(800) - 456 - 1230,,Manufacturing,Web Research,Pre Qualified,"23 Dec, 2010 00:00:00",
1231,Felipe,Cooper Tools Division,1004,Pete Zachriah,felipe@samplecompany.com,(800) - 456 - 1231,,Pharma,Partner,Contact in Future,"23 Dec, 2010 00:00:00",
1232,Fredrique,Caradon Better-Bilt,1004,Pete Zachriah,fredrique@samplecompany.com,(800) - 456 - 1232,,Technology,Public Relations,Contacted,"23 Dec, 2010 00:00:00",
2039,Alan,Bristol Metals Inc.,1004,Pete Zachriah,alan@samplecompany.com,(800) - 456 - 2039,,IT Services,Advertisement,Contacted,"23 Dec, 2010 00:00:00",
2041,Paula,U.S. Steel Irvin,1002,Santa Cruz Clara,paula@samplecompany.com,(800) - 456 - 2041,,Technology,Cold Call,Contact in Future,"23 Dec, 2010 00:00:00",
2043,Helen,Automatic Tooling Corp,1009,Thomas Mondrake,helen@samplecompany.com,(800) - 456 - 2043,,Government/Military,Sales Mail Alias,Junk Lead,"23 Dec, 2010 00:00:00",
1233,Antonio,Apogee Technology Inc.,1007,David Love,antonio@samplecompany.com,(800) - 456 - 1233,,Service Provider,Sales Mail Alias,Junk Lead,"22 Dec, 2010 00:00:00",
1234,Howard,Principal Industrial Spec.,1003,Lazar Mathew,howard@samplecompany.com,(800) - 456 - 1234,,Pharma,External Referral,Attempted to Contact,"22 Dec, 2010 00:00:00",
1235,Sue,Universal Alloy Corporation (also Alu Menziken Aerospace),1006,Harold Pawlan,sue@samplecompany.com,(800) - 456 - 1235,,Financial Services,OnlineStore,Pre Qualified,"22 Dec, 2010 00:00:00",
1236,Pascale,Gears & Sprockets Headquarters Inc,1006,Harold Pawlan,pascale@samplecompany.com,(800) - 456 - 1236,,Government/Military,Sales Mail Alias,Contact in Future,"22 Dec, 2010 00:00:00",
1237,Ann,Jansen Machine & Gear Co,1006,Harold Pawlan,ann@samplecompany.com,(800) - 456 - 1237,,Education,Web Research,Lost Lead,"22 Dec, 2010 00:00:00",
1238,Catherine,L & L Precision Machining,1001,Rozario Diego,catherine@samplecompany.com,(800) - 456 - 1238,,Technology,OnlineStore,Contacted,"22 Dec, 2010 00:00:00",
1239,Zbyszek,Meadville Forging Co,1004,Pete Zachriah,zbyszek@samplecompany.com,(800) - 456 - 1239,,Communications,Partner,Not Contacted,"22 Dec, 2010 00:00:00",
1240,Lino,Outboard Marine Corp,1007,David Love,lino@samplecompany.com,(800) - 456 - 1240,,Government/Military,Partner,Contact in Future,"22 Dec, 2010 00:00:00",
1241,Paula,"Weber Metals, Inc.",1006,Harold Pawlan,paula@samplecompany.com,(800) - 456 - 1241,,IT Services,Partner,Contacted,"22 Dec, 2010 00:00:00",
1242,Simon,Extruded Aluminum Corp.,1001,Rozario Diego,simon@samplecompany.com,(800) - 456 - 1242,,Manufacturing,Web Research,Junk Lead,"20 Dec, 2010 00:00:00",
1243,Aria,Howco Metals,1009,Thomas Mondrake,aria@samplecompany.com,(800) - 456 - 1243,,Consulting,Cold Call,Attempted to Contact,"20 Dec, 2010 00:00:00",
1244,Eduardo,Marples Gears Inc,1007,David Love,eduardo@samplecompany.com,(800) - 456 - 1244,,Pharma,Trade Show,Pre Qualified,"20 Dec, 2010 00:00:00",
1245,Isabel,"Charles E. Larson & Sons, Inc.",1006,Harold Pawlan,isabel@samplecompany.com,(800) - 456 - 1245,,Government/Military,Advertisement,Contact in Future,"20 Dec, 2010 00:00:00",
1246,Palle,Co-Bar Corporation,1006,Harold Pawlan,palle@samplecompany.com,(800) - 456 - 1246,,Financial Services,Partner,Lost Lead,"18 Dec, 2010 00:00:00",
1247,Francisco,Premium Products Inc,1002,Santa Cruz Clara,francisco@samplecompany.com,(800) - 456 - 1247,,Service Provider,Web Research,Contacted,"18 Dec, 2010 00:00:00",
1248,Aria,Roger's Anvil,1010,Augustine Paul,aria@samplecompany.com,(800) - 456 - 1248,,Pharma,Employee Referral,Not Contacted,"18 Dec, 2010 00:00:00",
2080,Mark,Bundy Corporation,1005,Steffi Graf,mark@samplecompany.com,(800) - 456 - 2080,,Pharma,Advertisement,Attempted to Contact,"18 Dec, 2010 00:00:00",
2081,Annette,Dynamet - A Carpenter Company,1002,Santa Cruz Clara,annette@samplecompany.com,(800) - 456 - 2081,,IT Services,Web Research,Pre Qualified,"18 Dec, 2010 00:00:00",
2091,Janine,Quality Steel Products Inc,1009,Thomas Mondrake,janine@samplecompany.com,(800) - 456 - 2091,,Technology,Public Relations,Contact in Future,"18 Dec, 2010 00:00:00",
1249,John,"Noranda Aluminum, Inc.",1008,Roger Terrence,john@samplecompany.com,(800) - 456 - 1249,,Manufacturing,Advertisement,Pre Qualified,"08 Dec, 2010 00:00:00",
1250,Howard,Sandvik Special Metals Corp,1009,Thomas Mondrake,howard@samplecompany.com,(800) - 456 - 1250,,Technology,Public Relations,Contacted,"08 Dec, 2010 00:00:00",
1251,Steve,"Imco Recycling, Inc.",1003,Lazar Mathew,steve@samplecompany.com,(800) - 456 - 1251,,Pharma,Public Relations,Junk Lead,"03 Dec, 2010 00:00:00",
1252,Eduardo,Danaher Tool Group,1002,Santa Cruz Clara,eduardo@samplecompany.com,(800) - 456 - 1252,,Financial Services,Employee Referral,Attempted to Contact,"03 Dec, 2010 00:00:00",
1253,Horst,Spicer Axle Corp,1009,Thomas Mondrake,horst@samplecompany.com,(800) - 456 - 1253,,IT Services,Partner,Pre Qualified,"03 Dec, 2010 00:00:00",
1254,Bernardo,"Buckeye Forge, Inc.",1003,Lazar Mathew,bernardo@samplecompany.com,(800) - 456 - 1254,,Government/Military,Advertisement,Contact in Future,"03 Dec, 2010 00:00:00",
